date,restaurant_id,guests,revenue
2024-01-01,1,65,82908.0
2024-01-02,1,75,128446.0
2024-01-03,1,107,154598.0
2024-01-04,1,113,156028.0
2024-01-05,1,113,166075.0
2024-01-06,1,120,199877.0
2024-01-07,1,107,168069.0
2024-01-08,1,131,217014.0
2024-01-09,1,57,81242.0
2024-01-10,1,70,91541.0
2024-01-11,1,99,163434.0
2024-01-12,1,122,192784.0
2024-01-13,1,119,193402.0
2024-01-14,1,113,146514.0
2024-01-15,1,79,95143.0
2024-01-16,1,55,68275.0
2024-01-17,1,79,101287.0
2024-01-18,1,72,98381.0
2024-01-19,1,136,190458.0
2024-01-20,1,130,200737.0
2024-01-21,1,102,155322.0
2024-01-22,1,55,73979.0
2024-01-23,1,80,110470.0
2024-01-24,1,68,81574.0
2024-01-25,1,80,122368.0
2024-01-26,1,92,148031.0
2024-01-27,1,126,227489.0
2024-01-28,1,113,161864.0
2024-01-29,1,71,113624.0
2024-01-30,1,61,78064.0
2024-01-31,1,97,114940.0
2024-02-01,1,100,167235.0
2024-02-02,1,83,147370.0
2024-02-03,1,123,209544.0
2024-02-04,1,120,179056.0
2024-02-05,1,58,69834.0
2024-02-06,1,57,66719.0
2024-02-07,1,71,112022.0
2024-02-08,1,85,122024.0
2024-02-09,1,119,174324.0
2024-02-10,1,131,223701.0
2024-02-11,1,103,174432.0
2024-02-12,1,61,99887.0
2024-02-13,1,77,103652.0
2024-02-14,1,110,168805.0
2024-02-15,1,86,117492.0
2024-02-16,1,133,215626.0
2024-02-17,1,147,253214.0
2024-02-18,1,123,163848.0
2024-02-19,1,54,96960.0
2024-02-20,1,54,73758.0
2024-02-21,1,86,125702.0
2024-02-22,1,79,108154.0
2024-02-23,1,96,180353.0
2024-02-24,1,135,230483.0
2024-02-25,1,95,146681.0
2024-02-26,1,49,83626.0
2024-02-27,1,89,122433.0
2024-02-28,1,78,119773.0
2024-02-29,1,110,132407.0
2024-03-01,1,88,135640.0
2024-03-02,1,114,172824.0
2024-03-03,1,90,124849.0
2024-03-04,1,60,84831.0
2024-03-05,1,85,135200.0
2024-03-06,1,93,158970.0
2024-03-07,1,85,115931.0
2024-03-08,1,123,198593.0
2024-03-09,1,150,228265.0
2024-03-10,1,108,200985.0
2024-03-11,1,56,79104.0
2024-03-12,1,66,88361.0
2024-03-13,1,72,111236.0
2024-03-14,1,96,123012.0
2024-03-15,1,129,206336.0
2024-03-16,1,245,415635.0
2024-03-17,1,99,190239.0
2024-03-18,1,68,110973.0
2024-03-19,1,60,90691.0
2024-03-20,1,71,111800.0
2024-03-21,1,103,141353.0
2024-03-22,1,122,199223.0
2024-03-23,1,127,183814.0
2024-03-24,1,80,131327.0
2024-03-25,1,59,87672.0
2024-03-26,1,81,125641.0
2024-03-27,1,65,39122.55
2024-03-28,1,92,119973.0
2024-03-29,1,110,151333.0
2024-03-30,1,135,254383.0
2024-03-31,1,92,161795.0
2024-04-01,1,60,98770.0
2024-04-02,1,61,72661.0
